,Random Forest,Linear Regression,Neural Network
MAE,270.58340745118034,737.151366593324,328.37469482421875
RMSE,303623.58222858957,1288705.4778516688,377250.5
R2,0.9809003590334386,0.9189331350419391,0.9762688279151917
